,tid,ttid,did,name,task_type,status,estimation_procedure,source_data,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
125920,125920,TaskType.SUPERVISED_CLASSIFICATION,23381,dresses-sales,Supervised Classification,active,10-fold Crossvalidation,23381,Class,290,24.0,210,2,13,500,401,835,1,12
125922,125922,TaskType.SUPERVISED_CLASSIFICATION,40499,texture,Supervised Classification,active,10-fold Crossvalidation,40499,Class,500,11.0,500,11,41,5500,0,0,40,1
146195,146195,TaskType.SUPERVISED_CLASSIFICATION,40668,connect-4,Supervised Classification,active,10-fold Crossvalidation,40668,class,44473,,6449,3,43,67557,0,0,0,43
146800,146800,TaskType.SUPERVISED_CLASSIFICATION,40966,MiceProtein,Supervised Classification,active,10-fold Crossvalidation,40966,class,150,8.0,105,8,82,1080,528,1396,77,5
146817,146817,TaskType.SUPERVISED_CLASSIFICATION,40982,steel-plates-fault,Supervised Classification,active,10-fold Crossvalidation,40982,target,673,7.0,55,7,28,1941,0,0,27,1
146819,146819,TaskType.SUPERVISED_CLASSIFICATION,40994,climate-model-simulation-crashes,Supervised Classification,active,10-fold Crossvalidation,40994,outcome,494,2.0,46,2,21,540,0,0,20,1
146820,146820,TaskType.SUPERVISED_CLASSIFICATION,40983,wilt,Supervised Classification,active,10-fold Crossvalidation,40983,class,4578,2.0,261,2,6,4839,0,0,5,1
146821,146821,TaskType.SUPERVISED_CLASSIFICATION,40975,car,Supervised Classification,active,10-fold Crossvalidation,40975,class,1210,4.0,65,4,7,1728,0,0,0,7
146822,146822,TaskType.SUPERVISED_CLASSIFICATION,40984,segment,Supervised Classification,active,10-fold Crossvalidation,40984,class,330,7.0,330,7,20,2310,0,0,19,1
146824,146824,TaskType.SUPERVISED_CLASSIFICATION,40979,mfeat-pixel,Supervised Classification,active,10-fold Crossvalidation,40979,class,200,10.0,200,10,241,2000,0,0,240,1
146825,146825,TaskType.SUPERVISED_CLASSIFICATION,40996,Fashion-MNIST,Supervised Classification,active,10-fold Crossvalidation,40996,class,7000,10.0,7000,10,785,70000,0,0,784,1
167119,167119,TaskType.SUPERVISED_CLASSIFICATION,41027,jungle_chess_2pcs_raw_endgame_complete,Supervised Classification,active,10-fold Crossvalidation,41027,class,23062,3.0,4335,3,7,44819,0,0,6,1
167120,167120,TaskType.SUPERVISED_CLASSIFICATION,23517,numerai28.6,Supervised Classification,active,10-fold Crossvalidation,23517,attribute_21,48658,2.0,47662,2,22,96320,0,0,21,1
167121,167121,TaskType.SUPERVISED_CLASSIFICATION,40923,Devnagari-Script,Supervised Classification,active,10-fold Crossvalidation,40923,character,2000,46.0,2000,46,1025,92000,0,0,1024,1
167124,167124,TaskType.SUPERVISED_CLASSIFICATION,40927,CIFAR_10,Supervised Classification,active,10-fold Crossvalidation,40927,class,6000,10.0,6000,10,3073,60000,0,0,3072,1
167125,167125,TaskType.SUPERVISED_CLASSIFICATION,40978,Internet-Advertisements,Supervised Classification,active,10-fold Crossvalidation,40978,class,2820,2.0,459,2,1559,3279,0,0,3,1556
167140,167140,TaskType.SUPERVISED_CLASSIFICATION,40670,dna,Supervised Classification,active,10-fold Crossvalidation,40670,class,1654,3.0,765,3,181,3186,0,0,0,181
167141,167141,TaskType.SUPERVISED_CLASSIFICATION,40701,churn,Supervised Classification,active,10-fold Crossvalidation,40701,class,4293,10.0,707,2,21,5000,0,0,16,5
