gr.gnosisda-1,target,columns,under,over,Bush,Gore,Browne,Nader,Harris,Hagelin,Buchanan,McReynolds,Phillips,Moorehead,Chote,McCarthy
sample29,N,1,1044.0,790.0,28635.0,19768.0,122.0,950.0,4.0,13.0,105.0,2.0,13.0,10.0,0.0,0.0
sample30,P,2,94.0,998.0,9138.0,6868.0,40.0,138.0,0.0,2.0,102.0,1.0,4.0,7.0,0.0,0.0
sample31,N,1,30.0,540.0,2478.0,3041.0,14.0,76.0,2.0,1.0,29.0,1.0,0.0,0.0,0.0,1.0
sample32,P,2,17.0,160.0,1670.0,789.0,6.0,26.0,2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
sample33,P,1,203.0,3138.0,50010.0,36571.0,204.0,1460.0,4.0,36.0,289.0,1.0,21.0,15.0,0.0,0.0
sample34,N,1,1975.0,2531.0,106141.0,73560.0,538.0,3587.0,30.0,81.0,305.0,5.0,34.0,96.0,0.0,0.0
sample35,P,1,176.0,0.0,39062.0,61427.0,330.0,1932.0,9.0,28.0,282.0,7.0,16.0,31.0,0.0,0.0
sample36,P,2,51.0,708.0,6858.0,5398.0,92.0,284.0,1.0,1.0,67.0,1.0,10.0,12.0,0.0,0.0
sample37,P,2,21.0,167.0,1317.0,1017.0,12.0,19.0,0.0,3.0,39.0,0.0,1.0,2.0,0.0,0.0
sample38,N,1,31.0,444.0,3038.0,3014.0,18.0,54.0,0.0,2.0,29.0,1.0,1.0,5.0,0.0,0.0
sample39,P,1,109.0,1264.0,57952.0,49177.0,242.0,2491.0,5.0,35.0,271.0,3.0,19.0,26.0,0.0,0.0
sample40,N,1,2410.0,890.0,55141.0,44665.0,662.0,1809.0,13.0,26.0,563.0,6.0,22.0,49.0,0.0,0.0
sample41,N,1,177.0,56.0,33970.0,26620.0,109.0,1118.0,14.0,29.0,112.0,7.0,20.0,14.0,0.0,0.0
sample42,N,1,10570.0,17833.0,289533.0,328808.0,762.0,5352.0,87.0,119.0,560.0,35.0,69.0,124.0,0.0,0.0
sample43,P,1,83.0,97.0,16059.0,16483.0,162.0,1090.0,1.0,26.0,47.0,0.0,3.0,7.0,9.0,0.0
sample44,N,2,197.0,1295.0,16404.0,6952.0,63.0,253.0,0.0,8.0,90.0,4.0,3.0,3.0,0.0,0.0
sample45,P,1,83.0,679.0,52093.0,16948.0,313.0,985.0,4.0,15.0,267.0,2.0,33.0,20.0,0.0,0.0
sample46,P,2,84.0,774.0,5057.0,4588.0,21.0,131.0,1.0,4.0,43.0,1.0,3.0,4.0,0.0,0.0
sample47,P,1,640.0,1197.0,134517.0,140220.0,891.0,3879.0,13.0,65.0,446.0,7.0,41.0,46.0,0.0,0.0
sample48,N,1,634.0,1039.0,26212.0,28181.0,309.0,732.0,10.0,20.0,145.0,5.0,10.0,33.0,1.0,0.0
sample49,N,2,10134.0,19218.0,152951.0,269732.0,743.0,5565.0,45.0,143.0,3411.0,302.0,190.0,104.0,0.0,0.0
sample50,N,1,1763.0,2124.0,68582.0,69564.0,413.0,3393.0,19.0,83.0,570.0,14.0,16.0,77.0,0.0,0.0
sample51,N,1,4240.0,4258.0,184825.0,200630.0,1230.0,10022.0,41.0,442.0,1013.0,27.0,72.0,170.0,0.0,0.0
sample52,P,1,219.0,668.0,90295.0,75200.0,366.0,2059.0,8.0,59.0,533.0,5.0,46.0,36.0,0.0,0.0
sample53,P,1,82.0,79.0,13447.0,12102.0,114.0,377.0,2.0,7.0,148.0,3.0,10.0,12.0,0.0,0.0
sample54,P,1,163.0,67.0,36274.0,12802.0,131.0,724.0,1.0,13.0,311.0,1.0,43.0,19.0,0.0,0.0
sample55,N,1,1846.0,994.0,83100.0,72853.0,431.0,4069.0,11.0,94.0,305.0,5.0,15.0,59.0,0.0,0.0
sample56,P,1,203.0,48.0,75677.0,59174.0,550.0,1946.0,6.0,38.0,194.0,5.0,18.0,26.0,0.0,0.0
sample57,P,1,426.0,130.0,39546.0,19502.0,210.0,1217.0,4.0,11.0,229.0,2.0,12.0,13.0,0.0,0.0
sample58,P,1,537.0,82.0,34705.0,41559.0,165.0,1368.0,4.0,12.0,124.0,10.0,13.0,29.0,0.0,0.0
sample59,N,1,596.0,170.0,12127.0,9637.0,53.0,306.0,2.0,2.0,114.0,0.0,3.0,17.0,0.0,0.0
sample60,P,2,39.0,686.0,8006.0,4075.0,52.0,180.0,2.0,4.0,108.0,0.0,9.0,5.0,16.0,0.0
sample61,P,2,87.0,517.0,4056.0,2649.0,4.0,59.0,0.0,3.0,27.0,1.0,8.0,1.0,0.0,0.0
sample62,N,2,25.0,233.0,2332.0,1407.0,15.0,33.0,1.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0
sample63,P,1,339.0,171.0,82357.0,97304.0,444.0,2910.0,8.0,36.0,498.0,5.0,20.0,70.0,0.0,1.0
sample64,N,1,49.0,373.0,4512.0,3838.0,30.0,149.0,2.0,3.0,46.0,1.0,0.0,6.0,0.0,0.0
sample65,P,1,135.0,72.0,12182.0,5642.0,68.0,265.0,3.0,11.0,120.0,2.0,7.0,18.0,0.0,0.0
sample66,P,1,305.0,36.0,4994.0,2798.0,32.0,93.0,0.0,2.0,88.0,0.0,9.0,5.0,3.0,1.0
